countyname,state,numberofplans1,numberofplans2,countyssa,eligibles,totalenrollees,totalpenetration
STEVENS ,WA ,1,1,50320,7094,199,2.8051875
THURSTON ,WA ,6,3,50330,33510,8857,26.430916
WAHKIAKUM ,WA ,2,2,50340,932,167,17.918455
WALLA WALLA ,WA ,2,2,50350,9323,307,3.2929316
WHATCOM ,WA ,4,2,50360,26614,3774,14.180507
WHITMAN ,WA ,1,1,50370,4384,40,.91240877
YAKIMA ,WA ,5,1,50380,30873,474,1.5353221
ADAMS ,WI ,2,2,52000,3268,322,9.8531208
ASHLAND ,WI ,3,3,52010,3428,188,5.4842472
BARRON ,WI ,4,3,52020,8988,757,8.4223413
BAYFIELD ,WI ,3,3,52030,2882,189,6.5579457
BROWN ,WI ,6,3,52040,31028,2609,8.408534
BUFFALO ,WI ,4,4,52050,2845,164,5.7644992
BURNETT ,WI ,4,4,52060,3653,292,7.9934301
CALUMET ,WI ,5,5,52070,4077,1100,26.980623
CHIPPEWA ,WI ,4,4,52080,9866,908,9.2033243
CLARK ,WI ,2,2,52090,6174,1238,20.05183
COLUMBIA ,WI ,3,2,52100,10350,276,2.6666667
CRAWFORD ,WI ,6,6,52110,3241,705,21.752546
DANE ,WI ,6,4,52120,52173,7064,13.53957
DODGE ,WI ,5,3,52130,10451,938,8.9752178
DOOR ,WI ,2,2,52140,6361,404,6.3512025
DOUGLAS ,WI ,3,3,52150,7925,402,5.0725551
DUNN ,WI ,4,3,52160,5881,429,7.2946777
EAU CLAIRE ,WI ,4,4,52170,14371,1256,8.7398233
FLORENCE ,WI ,1,1,52180,742,19,2.560647
FOND DU LAC ,WI ,5,5,52190,16984,1368,8.0546398
FOREST ,WI ,4,4,52200,2276,144,6.3268895
GRANT ,WI ,6,4,52210,9822,2566,26.125025
GREEN ,WI ,2,2,52220,5809,147,2.530556
GREEN LAKE ,WI ,4,4,52230,4131,405,9.8039217
IOWA ,WI ,4,2,52240,3292,114,3.4629405
IRON ,WI ,2,2,52250,1591,221,13.890635
JACKSON ,WI ,5,5,52260,3295,829,25.159332
JEFFERSON ,WI ,2,1,52270,13323,186,1.3960819
JUNEAU ,WI ,4,3,52280,5285,317,5.9981079
KENOSHA ,WI ,1,1,52290,20504,232,1.1314865
KEWAUNEE ,WI ,2,2,52300,3577,245,6.8493152
LA CROSSE ,WI ,5,1,52310,16481,4876,29.585583
LAFAYETTE ,WI ,3,3,52320,2812,475,16.891891
LANGLADE ,WI ,4,3,52330,4461,356,7.9802732
LINCOLN ,WI ,3,3,52340,6370,746,11.711146
MANITOWOC ,WI ,4,2,52350,15165,990,6.5281901
MARATHON ,WI ,3,3,52360,18783,2778,14.789969
MARINETTE ,WI ,3,3,52370,9679,522,5.3931193
MARQUETTE ,WI ,3,3,52380,4205,178,4.2330561
MENOMINEE ,WI ,1,1,52381,600,54,9
MILWAUKEE ,WI ,5,2,52390,136772,11444,8.3672094
MONROE ,WI ,5,4,52400,6620,1440,21.752266
OCONTO ,WI ,3,3,52410,6146,671,10.91767
ONEIDA ,WI ,3,3,52420,9208,761,8.2645521
OUTAGAMIE ,WI ,6,6,52430,23607,4021,17.033083
OZAUKEE ,WI ,3,3,52440,13318,1162,8.7250338
PEPIN ,WI ,3,3,52450,1442,63,4.3689322
PIERCE ,WI ,4,3,52460,5247,220,4.192872
POLK ,WI ,4,3,52470,7340,453,6.1716623
PORTAGE ,WI ,4,3,52480,9245,966,10.448892
PRICE ,WI ,3,3,52490,3400,352,10.352942
RACINE ,WI ,4,3,52500,30464,1873,6.1482406
RICHLAND ,WI ,4,4,52510,3163,212,6.7024975
ROCK ,WI ,2,1,52520,24579,242,.98458034
RUSK ,WI ,3,3,52530,3084,461,14.948119
SAINT CROIX ,WI ,5,4,52540,7682,405,5.2720647
SAUK ,WI ,2,2,52550,9782,240,2.453486
SAWYER ,WI ,3,3,52560,3516,233,6.6268487
SHAWANO ,WI ,4,3,52570,7551,1501,19.878162
SHEBOYGAN ,WI ,5,3,52580,18451,1427,7.7339983
TAYLOR ,WI ,3,3,52590,3271,542,16.569857
TREMPEALEAU ,WI ,6,3,52600,5496,1189,21.633915
VERNON ,WI ,5,1,52610,5482,2053,37.449837
VILAS ,WI ,2,2,52620,5911,341,5.7689056
WALWORTH ,WI ,1,1,52630,14124,279,1.9753611
WASHBURN ,WI ,4,3,52640,4687,166,3.5417111
WASHINGTON ,WI ,3,3,52650,17534,1648,9.3988819
WAUKESHA ,WI ,3,2,52660,55997,4253,7.5950499
WAUPACA ,WI ,6,5,52670,11225,1262,11.242762
WAUSHARA ,WI ,5,4,52680,4818,516,10.709838
WINNEBAGO ,WI ,6,6,52690,23929,3728,15.579422
WOOD ,WI ,2,2,52700,15532,2296,14.782385
BARBOUR ,WV ,1,1,51000,3115,163,5.2327447
BERKELEY ,WV ,1,0,51010,13024,11,.084459461
BOONE ,WV ,2,2,51020,5190,609,11.734104
BRAXTON ,WV ,1,1,51030,2884,57,1.9764216
BROOKE ,WV ,4,4,51040,4495,1289,28.676308
CABELL ,WV ,3,1,51050,21202,436,2.0564098
CALHOUN ,WV ,0,0,51060,1668,0,0
CLAY ,WV ,1,1,51070,2137,104,4.8666353
DODDRIDGE ,WV ,0,0,51080,1003,0,0
FAYETTE ,WV ,2,1,51090,10648,1221,11.466942
GILMER ,WV ,1,1,51100,1454,16,1.1004126
GRANT ,WV ,0,0,51110,2739,0,0
GREENBRIER ,WV ,2,1,51120,8151,440,5.3981109
HAMPSHIRE ,WV ,0,0,51130,3754,0,0
HANCOCK ,WV ,2,2,51140,7631,1239,16.236404
HARDY ,WV ,0,0,51150,2419,0,0
HARRISON ,WV ,2,1,51160,14615,306,2.0937393
JACKSON ,WV ,1,1,51170,5977,39,.65250123
JEFFERSON ,WV ,0,0,51180,6531,0,0
KANAWHA ,WV ,3,1,51190,41918,912,2.1756763
LEWIS ,WV ,1,1,51200,4026,36,.89418781
LINCOLN ,WV ,2,2,51210,4536,205,4.5194001
LOGAN ,WV ,2,2,51220,8839,1357,15.352415
MARION ,WV ,2,1,51240,12217,569,4.6574445
MARSHALL ,WV ,4,4,51250,6149,1413,22.979345
MASON ,WV ,1,0,51260,5319,22,.41361159
MCDOWELL ,WV ,1,1,51230,6961,1137,16.33386
MERCER ,WV ,1,1,51270,15021,1020,6.7904935
MINERAL ,WV ,1,0,51280,4874,16,.32827246
MINGO ,WV ,1,1,51290,6786,1161,17.108753
MONONGALIA ,WV ,1,1,51300,10308,290,2.8133488
MONROE ,WV ,1,1,51310,3335,81,2.4287856
MORGAN ,WV ,0,0,51320,3096,0,0
NICHOLAS ,WV ,1,1,51330,5891,464,7.8764215
OHIO ,WV ,4,3,51340,10628,3053,28.726007
PENDLETON ,WV ,0,0,51350,1793,0,0
PLEASANTS ,WV ,0,0,51360,1435,0,0
POCAHONTAS ,WV ,1,1,51370,1956,19,.97137016
